date,MMM,AXP,AMGN,AAPL,BA,CAT,CVX,CSCO,KO,DIS,DOW,XOM,GS,HD,HON,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PG,CRM,TRV,UNH,VZ,V,WBA,WMT,DIA,SPY
2010-07-15 00:00:00+00:00,58.1603984783,36.245909157,39.694817139,7.6444176694,50.7252587384,47.3882936953,44.4892533218,16.8620126111,17.9779123259,29.6616583402,,36.4234147313,118.7696456241,21.1882378812,30.5934914502,80.9444840403,14.6835509007,41.9555467018,28.9088988329,50.2241719579,22.7615477274,19.6982156469,15.2776496166,42.8584767179,23.9975,37.1973564359,25.5992977789,14.8984339054,17.1838251033,21.1227032643,37.9187701908,78.4085176669,86.3062190922
2010-07-16 00:00:00+00:00,56.6829310959,34.5350154482,39.1322488689,7.597295588,48.7788335546,45.8706712991,43.5512268964,16.0372402551,17.8146313814,28.7731152709,,35.6183755327,119.5466127315,20.2686354608,29.4221684945,79.2787813011,14.3490581094,41.3846282104,27.8657205755,49.2454589476,22.3997582595,19.2194663839,14.912196993,42.352892902,23.0125,36.6944895894,25.1516416649,14.8372836169,16.3095683267,20.7602342648,37.3621367859,76.4445393017,83.9298078809
2010-07-19 00:00:00+00:00,56.8719909031,34.7019319076,40.2018786732,7.4659617867,49.7875073341,46.4876368499,43.8557809306,16.0231415823,17.780614518,29.0170290546,,35.9072063902,119.1458612761,20.238729691,29.5393007901,80.3686091156,14.7381619687,41.4751396785,27.8943008017,49.2243356453,22.3311430156,19.4820063023,14.8365115385,42.2640741235,23.1575,36.7610454956,25.5495582107,14.8539609683,16.257067267,20.7744487354,37.2493056903,76.9061883362,84.4255492925
2010-07-20 00:00:00+00:00,57.5512057661,35.1025314101,39.9048426266,7.6577942603,50.3391258072,47.6570017892,44.5257998059,16.2487203464,18.1105780933,29.0954299137,,36.2267639347,121.7875494414,20.881703741,30.1615661103,78.3623351843,14.7791202697,40.7858600364,28.3158591386,49.9002813214,22.2438145234,19.67505036,15.1024918503,42.4075506118,23.28,37.2343319393,25.5578481387,14.8261653827,16.8003391021,20.9805585587,38.2723076237,77.4435175403,85.3619497367
2010-07-21 00:00:00+00:00,57.628230132,34.3430615199,39.1922561511,7.7292374161,49.7875073341,47.9726585826,43.9593293023,15.903302864,18.3963197462,28.5814687266,,35.747427618,120.2172580243,20.5377873887,30.110320731,77.5697331374,14.5128913133,39.7693466248,27.4513072951,49.3651576611,21.9506402994,19.3970669169,15.0614054606,42.0808341513,23.04,36.8793671065,25.4500790743,14.7427786258,16.5172899107,20.5114810299,37.8736377526,76.6110356748,84.252433244
2010-07-22 00:00:00+00:00,59.3437728273,36.0456094057,39.9873526395,7.8746774405,52.4825575886,48.7833226203,44.7328965492,16.4038057466,18.4575501003,29.2609428383,,36.4910134426,119.8573995745,21.0985205719,31.2303983074,78.9320179056,14.8678632551,39.6997224185,28.115797555,50.2734596634,21.94440255,19.9530338031,15.4744317985,42.2598722282,23.9825,36.4504512669,25.6987769154,15.0096162479,16.9966474122,20.9023789705,38.2572634776,78.1397751005,86.1331030437
2010-07-23 00:00:00+00:00,60.3380873691,37.3809410808,39.5673016645,7.9025250706,53.5306326876,49.7231189825,44.7816251947,16.4602004376,18.6242327312,29.7313479926,,36.699954914,120.5362234684,21.1209498992,31.8453428592,79.4955084233,14.8064258037,40.1244300768,28.4587602698,49.2172945445,21.7510323172,19.9298685162,15.7295999025,42.6317205418,24.9425,37.079034825,25.6324574911,15.5766461951,17.2545874012,21.4212071463,38.8665513938,78.9117128303,86.8806496168
2010-07-26 00:00:00+00:00,61.1433421036,37.9150737509,40.2573854092,7.8824601843,54.2556169666,50.2109522087,45.45164407,16.6434831834,18.6888647717,29.9665505698,,37.1116925194,121.2068687611,21.6742066399,32.1308528296,79.5140850338,14.8200785707,40.2010167037,28.8160130977,49.9002813214,22.000542295,20.1537996231,15.8333970973,43.0517714145,25.0175,37.3082829461,26.0884035331,15.7211832404,17.3664374849,21.2364190289,38.4603594496,79.6609465093,87.7855744158
2010-07-27 00:00:00+00:00,60.7792269193,37.1806413295,40.8874618717,8.0283866301,54.0743708969,49.6298567481,45.8658375566,16.4249537558,18.7262833215,29.8620160911,,37.3697966899,120.4135444514,21.3676724998,31.7940974799,79.6503135106,14.7313355852,40.4516638463,29.0732351338,49.5693495841,21.94440255,20.2001301969,15.932869409,43.4373918879,24.7,37.404419255,25.5163984985,15.8935158714,17.4874181876,20.6749474414,38.332484208,79.7971708145,87.7777055046
2010-07-28 00:00:00+00:00,60.7022025534,37.2056787985,40.3248936016,7.9335344403,53.0499365896,50.0172537219,46.0242056544,16.4883977832,18.6684546536,29.6529471336,,37.4312500638,120.389008648,20.9938503777,31.6550028789,79.5264694407,14.5606759978,40.2636784893,28.8088680411,49.1257602342,21.6699415744,20.0379731885,15.8096102402,43.1757208524,24.5275,37.1899613352,25.1433517369,16.0714076196,17.1609985556,20.5541244416,38.4603594496,79.532290221,87.2111438913
